dataset,arch,stud,ipc,seed,best_top1,nc1,nc2,nc3,nc4,ece,mce,avg_conf,acc,overconf_gap,top1,n,oscr_msp,auroc_msp,fpr95_msp,oscr_energy,auroc_energy,fpr95_energy
cifar100,conv3,conv3,1,42,22.04,15.65191840949755,0.297686847823703,0.221000029549614,0.24889999628067003,0.20703797835558602,0.41778025031089705,0.426837980747222,0.219799995422363,0.207037985324859,21.979999542236328,10000,0.174114129999999,0.640055135,0.8989,0.16574148,0.6016945850000001,0.9553
tinyimagenet,conv4,conv4,1,42,13.5,17.25697839608574,0.26270502542782403,0.20673817982004,0.198500007390975,0.17603987095616702,0.48269578814506503,0.31073987483978205,0.13470000028610202,0.17603987455368,13.47000002861023,10000,0.09317565,0.49408065,0.9665,0.082644459999999,0.43422132,0.9921000000000001
tinyimagenet,resnet18_modified,resnet18_modified,1,42,9.12,45.395110089444835,0.310251737757248,0.23925019187303903,0.211300000548362,0.31469964262098005,0.8297563195228571,0.403799623250961,0.08910000324249201,0.314699620008468,8.910000324249268,10000,0.03305893,0.26690022,0.9982000000000001,0.02094886,0.162592605,0.9999
cifar100,resnet18_modified,resnet18_modified,1,42,11.19,34.617865196657974,0.347932281079805,0.267649204947079,0.215299993753433,0.291907865741848,0.6608778834342951,0.39836814999580306,0.10660000145435301,0.29176814854145,10.660000145435333,10000,0.07558569999999999,0.554579515,0.9508000000000001,0.068017639999999,0.45395282000000003,0.985
cifar100,conv3,conv3,10,42,48.23,9.189926159639919,0.25358280697267,0.189800674556549,0.455099999904632,0.10744505146890801,0.17460548877716,0.5831118226051331,0.47600001096725403,0.107111811637878,47.600001096725464,10000,0.43258191,0.8147823,0.6403,0.45450006,0.9150406350000001,0.3569
cifar100,resnet18_modified,resnet18_modified,10,42,44.95,12.710737950251767,0.25829154805321003,0.194231877934114,0.5874000191688531,0.190509329140186,0.342095106840133,0.6400094032287591,0.449499994516372,0.190509408712387,44.94999945163727,10000,0.37537998,0.69836866,0.859,0.39441092,0.7714576200000001,0.7904
tinyimagenet,conv4,conv4,10,42,40.09,12.341219783920055,0.224322236324756,0.197973363425091,0.41200000047683705,0.06391690577268601,0.14380455017089802,0.46477493643760603,0.40090000629425004,0.063874930143356,40.09000062942505,10000,0.32590091,0.64345188,0.9148000000000001,0.30212689,0.61211701,0.9511000000000001
cifar100,conv3,conv3,50,42,57.54,8.46348421424655,0.251468396211255,0.17045872546259702,0.497299998998641,0.10477032519876901,0.18801617622375402,0.6758702993392941,0.571099996566772,0.104770302772521,57.109999656677246,10000,0.5368898400000001,0.87427838,0.48560000000000003,0.54989451,0.936902695,0.2492
cifar100,resnet18_modified,resnet18_modified,50,42,63.17,7.854862542614286,0.21325806534886702,0.175170008879416,0.718400001525878,0.133517254592478,0.252851784229278,0.75981730222702,0.626299977302551,0.13351732492446902,62.62999773025513,10000,0.56788525,0.8169057750000001,0.7282000000000001,0.5890913200000001,0.88697445,0.5576
tinyimagenet,resnet18_modified,resnet18_modified,10,42,43.85,20.815986029308498,0.2429938997132,0.20517731339814102,0.5627999901771541,0.159025516555085,0.283769071102142,0.597525477409362,0.438499987125396,0.159025490283966,43.84999871253967,10000,0.36432363,0.65660753,0.9492,0.37061468000000003,0.686263815,0.9988
