dataset,arch,ipc,n_seeds,best_top1,ece,overconf_gap,oscr_msp,auroc_msp,fpr95_msp,oscr_energy,auroc_energy,fpr95_energy,nc1,nc2,nc3
cifar100,conv3,1,3,21.6133,0.2025,0.2025,0.1758,0.6741,0.8744,0.1694,0.6469,0.9339,15.5787,0.2963,0.2161
cifar100,conv3,10,3,48.5567,0.0974,0.0972,0.4375,0.8083,0.6663,0.4569,0.9033,0.3809,9.2012,0.2561,0.1846
cifar100,conv3,50,3,57.54,0.0971,0.0971,0.5383,0.8721,0.5082,0.5492,0.9284,0.2867,8.3858,0.2514,0.1703
cifar100,resnet18_modified,1,3,11.1533,0.2739,0.2738,0.0679,0.4758,0.9701,0.0589,0.3791,0.9911,34.8044,0.357,0.2737
cifar100,resnet18_modified,10,3,44.71,0.1901,0.1901,0.3731,0.6949,0.8623,0.3905,0.7649,0.82,12.7254,0.26,0.1998
cifar100,resnet18_modified,50,3,63.2933,0.1322,0.1322,0.5704,0.8177,0.7132,0.5945,0.8942,0.5307,7.8008,0.2106,0.1765
tinyimagenet,conv4,1,3,13.31,0.1772,0.1772,0.0934,0.5184,0.9652,0.0801,0.423,0.9942,17.2361,0.2653,0.2074
tinyimagenet,conv4,10,3,39.9467,0.0643,0.0642,0.3282,0.6583,0.8803,0.3053,0.6256,0.9392,12.3415,0.2218,0.1977
tinyimagenet,conv4,50,3,48.3433,0.0557,0.0553,0.4618,0.8869,0.4992,0.4637,0.9154,0.4518,9.7301,0.2159,0.1756
tinyimagenet,resnet18_modified,1,3,8.8733,0.333,0.3329,0.035,0.2825,0.9972,0.0245,0.1929,0.9998,45.7487,0.3115,0.2431
tinyimagenet,resnet18_modified,10,3,43.6967,0.1538,0.1537,0.3696,0.6886,0.9066,0.3734,0.7059,0.9936,20.9542,0.2466,0.2065
tinyimagenet,resnet18_modified,50,3,58.1967,0.115,0.1149,0.5493,0.8659,0.5938,0.5589,0.9046,0.5874,14.2708,0.2188,0.1847
