dataset,arch,ipc,n_seeds,best_top1,ece,overconf_gap,oscr_msp,auroc_msp,fpr95_msp,oscr_energy,auroc_energy,fpr95_energy,nc1,nc2,nc3
cifar100,conv3,1,3,0.3988,0.009,0.009,0.0031,0.0415,0.0268,0.0033,0.0393,0.0213,0.2407,0.0056,0.0043
cifar100,conv3,10,3,0.3113,0.0095,0.0095,0.0088,0.0287,0.0557,0.0045,0.0176,0.0511,0.0343,0.0024,0.0049
cifar100,conv3,50,3,0.18,0.0068,0.0068,0.0033,0.0026,0.0201,0.0055,0.0091,0.0393,0.0902,0.0004,0.0006
cifar100,resnet18_modified,1,3,0.2768,0.0156,0.0155,0.0081,0.0693,0.0167,0.0081,0.0648,0.0055,0.715,0.0097,0.0053
cifar100,resnet18_modified,10,3,0.2081,0.003,0.003,0.0032,0.0074,0.0053,0.0041,0.0079,0.0262,0.0299,0.0021,0.0076
cifar100,resnet18_modified,50,3,0.1498,0.0021,0.0021,0.005,0.012,0.0324,0.007,0.0153,0.056,0.0809,0.0044,0.002
tinyimagenet,conv4,1,3,0.1652,0.0039,0.0039,0.0025,0.0233,0.0041,0.0031,0.0126,0.0021,0.0194,0.0077,0.0021
tinyimagenet,conv4,10,3,0.1563,0.0074,0.0074,0.0117,0.0368,0.0404,0.0221,0.0652,0.028,0.0628,0.0035,0.0007
tinyimagenet,conv4,50,3,0.4761,0.0075,0.0078,0.0025,0.0147,0.0546,0.0045,0.0075,0.035,0.1231,0.0024,0.003
tinyimagenet,resnet18_modified,1,3,0.2219,0.0245,0.0244,0.0048,0.037,0.0015,0.0051,0.035,0.0002,0.3246,0.0046,0.0035
tinyimagenet,resnet18_modified,10,3,0.8208,0.0127,0.0126,0.0046,0.0287,0.0736,0.0129,0.0347,0.0076,0.1198,0.0042,0.002
tinyimagenet,resnet18_modified,50,3,0.1222,0.0034,0.0032,0.0112,0.0287,0.0385,0.0015,0.0086,0.1119,0.1398,0.0017,0.0022
